2015-09-19 16:37:03, 213712, 18776, 3
2015-09-19 17:01:06, 213712, 18776, 3
2015-09-19 17:30:31, 213712, 18776, 3
2015-09-19 17:53:57, 216560, 18988, 3
2015-09-19 23:14:07, 216560, 18988, 3
2015-09-20 07:37:07, 241973, 20980, 5
2015-09-20 07:53:40, 241973, 20980, 5
2015-09-20 08:08:03, 241973, 20980, 5
2015-09-20 08:09:03, 241973, 20980, 5
2015-09-20 08:10:21, 241973, 20980, 5
2015-09-20 08:13:14, 241973, 20980, 5
2015-09-20 08:15:00, 241973, 20980, 5
2015-09-20 08:31:08, 241973, 20980, 5
2015-09-20 13:04:03, 243563, 21169, 5
2015-09-20 13:10:58, 243563, 21169, 5
2015-09-20 13:24:24, 243563, 21169, 5
2015-09-20 13:39:28, 243563, 21169, 5
2015-09-20 14:16:13, 243563, 21169, 5
2015-09-20 14:25:58, 243563, 21169, 5
2015-09-20 17:38:14, 243563, 21169, 5
2015-09-20 18:37:58, 243563, 21169, 5
2015-09-20 19:01:23, 243563, 21169, 5
2015-09-20 19:39:17, 243563, 21169, 5
2015-09-20 19:48:48, 243563, 21169, 5
2015-09-20 23:23:53, 255042, 22279, 5
2015-09-21 06:57:19, 270348, 23172, 5
2015-09-21 08:45:16, 276105, 23550, 5
2015-09-21 15:21:51, 279650, 23981, 4
2015-09-21 23:48:30, 39327, 4843, 5
2015-09-22 08:47:21, 104587, 9717, 5
2015-09-22 09:39:59, 104587, 9717, 5
2015-09-22 13:06:48, 111779, 10857, 6
2015-09-22 13:54:25, 114376, 11450, 6
2015-09-22 17:16:52, 124806, 12241, 6
2015-09-22 19:21:57, 124806, 12241, 6
2015-09-23 12:47:26, 186963, 16855, 6
2015-09-23 13:28:17, 186963, 16855, 6
2015-09-23 14:59:27, 186963, 16855, 6
2015-09-23 16:20:42, 186963, 16855, 6
2015-09-23 19:13:05, 199858, 17693, 6
2015-09-23 20:28:07, 199858, 17693, 6
2015-09-23 22:10:57, 199858, 17693, 6
2015-09-23 22:41:29, 199858, 17693, 6
2015-09-24 07:24:42, 228627, 19454, 7
2015-09-24 09:08:02, 237394, 20037, 7
2015-09-24 10:12:49, 237394, 20037, 7
2015-09-24 11:57:39, 237964, 20209, 7
2015-09-24 14:17:20, 237964, 20209, 7
2015-09-24 14:52:36, 239460, 20452, 7
2015-09-24 16:21:23, 239460, 20452, 7
2015-09-24 17:51:45, 244455, 20729, 7
2015-09-24 19:46:16, 244455, 20729, 7
2015-09-24 21:59:18, 253647, 21212, 7
2015-09-25 07:13:38, 274958, 22495, 6
